"pmid","publication_year","last_author"
"34255999","2021","0"
"22853193","2013","0"
"34779877","2022","0"
"21676694","2011","0"
"29358158","2018","0"
"23238404","2012","1"
"26010844","2015","1"
"31691305","2020","1"
"32013900","2020","1"
"22024287","2012","0"
"29170069","2018","1"
"30230412","2019","1"
"25488976","2015","0"
"19913573","2010","1"
"32270204","2020","0"
"28947790","2017","1"
"21851929","2011","0"
"27991419","2016","0"
"31829635","2020","0"
"25423095","2014","1"
"29029677","2017","1"
"25736983","2015","0"
"21416451","2011","1"
"28750278","2017","0"
"22087265","2011","0"
"19949851","2010","1"
"32433924","2020","0"
"33302766","2022","1"
"20004254","2010","0"
"27231272","2016","0"
"29247101","2017","0"
"32556379","2021","0"
"22801744","2012","0"
"20233952","2010","0"
"26968481","2016","1"
"31874876","2019","0"
"29054675","2018","1"
"34593015","2021","0"
"33276274","2021","1"
"23750460","2013","1"
"33212440","2021","1"
"26751627","2016","0"
"32796011","2020","0"
"27847284","2017","0"
"32700941","2020","1"
"29018866","2018","1"
"28318480","2017","1"
"23620782","2013","0"
"22256856","2012","0"
"29730147","2018","0"
"24349174","2013","1"
"22248422","2012","0"
"24022651","2013","1"
"23051178","2013","0"
"22647076","2013","0"
"22726816","2012","0"
"32499260","2020","0"
"23343860","2013","0"
"21800400","2012","0"
"34488691","2021","0"
"25885652","2015","0"
"29251954","2017","0"
"28958084","2017","0"
"31586370","2019","1"
"20380910","2010","0"
"23118205","2013","0"
"30231844","2018","0"
"22496462","2013","1"
"21043195","2010","1"
"31526050","2021","1"
"23276211","2013","0"
"32985246","2020","1"
"30359609","2018","0"
"32494810","2020","1"
"21383847","2011","0"
"30060139","2019","1"
"24562639","2014","1"
"32597818","2020","0"
"30818385","2019","0"
"27918174","2017","1"
"20063249","2010","0"
"25540862","2015","1"
"30041167","2018","1"
"29102898","2018","1"
"23954310","2013","0"
"24207027","2014","0"
"26647849","2016","0"
"32276731","2020","0"
"35074887","2022","0"
"29536801","2019","1"
"35094095","2022","0"
"33259494","2020","0"
"30742831","2019","0"
"23205895","2013","0"
"31619492","2019","0"
"32979230","2021","1"
"23840356","2013","1"
"25104835","2014","1"
"33087746","2020","0"
"26799397","2016","0"
"34637374","2022","1"
"31852887","2019","0"
"32800303","2020","0"
"24452606","2014","1"
"32964334","2021","0"
"35058256","2022","0"
"27832117","2016","0"
"27469518","2016","0"
"29683698","2018","1"
"26871535","2016","1"
"27668988","2016","1"
"27893756","2016","1"
"28377075","2017","0"
"33582826","2021","0"
"32304649","2020","0"
"20637806","2010","1"
"27491531","2016","1"
"27454410","2016","0"
"33054774","2020","0"
"27058164","2016","1"
"28464975","2017","1"
"29884451","2018","0"
"27734198","2017","0"
"28912037","2018","0"
"22339617","2012","0"
"34882779","2022","0"
"25151915","2014","1"
"32446880","2020","0"
"20800590","2010","1"
"34634228","2022","0"
"29776429","2018","0"
"23084598","2013","0"
"29346084","2018","1"
"20129594","2010","1"
"20555256","2011","1"
"30107241","2019","1"
"30840633","2019","1"
"25030152","2014","0"
"34537086","2021","0"
"25256187","2014","0"
"33886568","2021","0"
"26886248","2016","0"
"33219629","2021","0"
"28384711","2017","0"
"31009465","2019","1"
"22056230","2012","0"
"33367502","2021","0"
"20070968","2010","0"
"21357882","2011","0"
"30785849","2020","0"
"24861146","2014","0"
"33046817","2020","0"
"31158723","2019","1"
"28515196","2017","0"
"30091275","2019","0"
"25396257","2014","0"
"23094031","2012","0"
"33942423","2021","0"
"28953070","2017","0"
"28362457","2017","0"
"21092934","2011","0"
"27402049","2017","1"
"21130216","2011","0"
"28103755","2017","1"
"26063054","2016","0"
"32513881","2020","1"
"22526131","2011","0"
"30223011","2019","0"
"20423375","2010","0"
"29173513","2017","0"
"25438621","2014","0"
"23879695","2013","1"
"30241993","2018","0"
"31072317","2019","0"
"32992046","2020","0"
"30688184","2019","1"
"22017458","2012","1"
"24949908","2014","1"
"22832965","2012","0"
"27349655","2017","1"
"26105031","2015","0"
"33091680","2020","0"
"32246787","2020","0"
"36423956","2022","0"
"25479980","2015","1"
"28541285","2017","1"
"23298751","2013","0"
"26486849","2016","0"
"33904411","2021","0"
"30192705","2019","0"
"22468619","2012","0"
"25352317","2015","0"
"31828862","2020","1"
"20424352","2010","0"
"20359691","2010","1"
"21858264","2011","1"
"35952930","2022","0"
"28528015","2017","1"
"25012399","2014","1"
"33216134","2021","1"
"32100383","2020","1"
"24220044","2014","0"
"29374153","2018","0"
"31923883","2020","0"
"31300656","2019","1"
"34245038","2021","0"
"27830462","2016","0"
"26293450","2015","1"
"20972912","2010","0"
"28385099","2018","0"
"27859959","2018","0"
"32441868","2021","0"
"21310695","2011","0"
"31053793","2019","0"
"29339471","2018","0"
"28657517","2018","1"
"32460760","2020","0"
"20597853","2010","1"
"26812041","2016","0"
"28711113","2017","0"
"31609523","2020","1"
"29170461","2017","1"
"25486090","2015","1"
"24264294","2014","0"
"24565712","2013","0"
"27765049","2016","1"
"31184796","2020","1"
"24657459","2014","0"
"30094173","2018","0"
"30496342","2019","0"
"29959588","2019","0"
"35082277","2022","0"
"31573901","2019","0"
"20470860","2010","0"
"29936239","2018","1"
"24215278","2014","0"
"29961004","2018","0"
"19962331","2010","0"
"27359333","2016","0"
"27289421","2016","1"
"24959666","2014","0"
"20629805","2011","0"
"35260030","2022","0"
"31232674","2019","0"
"31462697","2019","0"
"29077623","2018","1"
"25172117","2014","0"
"31280385","2020","1"
"21473754","2011","0"
"29438715","2018","0"
"27285475","2016","0"
"33315190","2021","0"
"25877283","2015","0"
"23946393","2013","0"
"21947617","2012","1"
"23147501","2013","0"
"31820449","2020","0"
"27473046","2016","1"
"21854349","2012","0"
"33975569","2021","1"
"22085478","2011","1"
"28665329","2017","0"
"25325503","2014","0"
"31204818","2019","1"
"26649465","2016","0"
"23454552","2013","0"
"25268019","2015","1"
"32306878","2020","0"
"29369683","2018","0"
"27866503","2017","0"
"35168598","2022","1"
"23954724","2013","1"
"23061803","2013","1"
"31473279","2019","1"
"23574539","2013","0"
"34008014","2021","0"
"23573795","2013","0"
"21035616","2010","0"
"19864108","2010","0"
"31180695","2019","1"
"28043996","2017","1"
"31368355","2020","0"
"28378363","2017","0"
"34664298","2022","0"
"23144849","2012","0"
"21491183","2011","0"
"34161276","2021","0"
"22104657","2012","1"
"31733457","2020","0"
"33415470","2022","0"
"34801824","2021","0"
"21783339","2011","1"
"35142868","2022","0"
"23679866","2013","0"
"30609172","2019","0"
"25893687","2015","0"
"22348650","2012","0"
"20850053","2010","1"
"34740376","2021","1"
"23724094","2013","0"
"29447217","2018","0"
"25451617","2015","0"
"32912351","2022","0"
"19958466","2010","1"
"35414549","2022","0"
"26795378","2016","0"
"31859542","2019","1"
"24236500","2014","0"
"27942734","2017","0"
"34160570","2021","1"
"20607212","2011","0"
"35157739","2022","0"
"33483126","2021","0"
"32383201","2020","0"
"21859193","2012","0"
"33974020","2021","0"
"27113231","2016","1"
"35422529","2022","0"
"31581798","2020","0"
"28752937","2018","0"
"26009780","2015","0"
"34134823","2021","0"
"21305668","2011","1"
"22952650","2012","0"
"30558161","2018","0"
"31299497","2019","1"
"29736907","2018","0"
"31640869","2019","1"
"25500807","2015","0"
"23029278","2012","1"
"25329575","2014","1"
"32191087","2021","0"
"20303069","2010","0"
"24972134","2014","0"
"31741214","2020","0"
"29057956","2017","1"
"28497641","2018","1"
"31585343","2019","1"
"26118556","2015","0"
"33037836","2021","0"
"25751741","2015","1"
"25326710","2014","0"
"26616102","2016","1"
"34693569","2022","0"
"29743040","2018","0"
"32006302","2020","0"
"20116915","2010","0"
"35653951","2022","0"
"31123309","2019","0"
"25437150","2014","1"
"21633503","2011","0"
"27816011","2017","1"
"35089915","2022","0"
"31833080","2020","0"
"34987091","2022","0"
"22632171","2013","0"
"29937263","2018","0"
"26456069","2016","0"
"28855344","2018","0"
"25781408","2015","0"
"27244793","2016","0"
"28642208","2017","0"
"35429005","2022","1"
"35067978","2022","0"
"34009282","2021","0"
"22617391","2013","0"
"24742310","2014","1"
"28856478","2017","0"
"23083015","2013","0"
"27096407","2016","1"
"24630177","2014","0"
"27991822","2017","0"
"23750459","2013","0"
"22264332","2012","0"
"30661558","2019","1"
"20034617","2010","0"
"32007780","2020","1"
"22579509","2012","0"
"27487079","2016","1"
"33621970","2021","0"
"27620550","2017","1"
"34537040","2021","0"
"26212755","2017","1"
"33985396","2021","1"
"21406944","2010","1"
"27458105","2018","1"
"29486813","2018","0"
"28348380","2018","1"
"21531252","2011","0"
"33986065","2021","0"
"32898146","2020","1"
"34789348","2022","1"
"27103375","2016","0"
"21465512","2012","1"
"30760585","2019","1"
"27113233","2016","0"
"31104043","2019","1"
"30185575","2018","1"
"24920083","2015","1"
"30129665","2019","0"
"23704057","2013","0"
"21812991","2011","0"
"22064977","2012","0"
"27995690","2016","1"
"31323378","2020","0"
"31892657","2019","0"
"27933161","2016","0"
"34419188","2021","0"
"25893448","2015","1"
"33723673","2022","1"
"33493626","2021","0"
"24147128","2013","0"
"29982098","2018","1"
"24458270","2014","1"
"25134976","2014","0"
"23075095","2013","0"
"33740927","2021","0"
"25746486","2015","1"
"31638472","2020","1"
"32172210","2020","0"
"30742884","2019","1"
"27187780","2016","0"
"21496482","2011","0"
"21448267","2011","0"
"33367734","2021","0"
"21797983","2011","0"
"30305103","2018","1"
"22377139","2012","0"
"35578205","2022","0"
"30661560","2019","1"
"21255023","2011","0"
"28542365","2017","0"
"27890143","2017","0"
"33537776","2021","1"
"22846588","2012","0"
"28152198","2017","1"
"30688194","2019","0"
"28786017","2017","0"
"24857714","2014","0"
"34029328","2021","1"
"24098630","2013","0"
"21950615","2012","1"
"35490798","2022","0"
"35487945","2022","1"
"21156746","2010","1"
"20443204","2010","1"
"31349178","2019","0"
"29144170","2018","0"
"23103688","2013","1"
"30507232","2018","0"
"36376898","2022","0"
"29614378","2018","1"
"22398153","2012","1"
"28915273","2017","0"
"32221497","2020","0"
"25872010","2015","1"
"29183947","2018","0"
"23416539","2013","1"
"23725208","2013","0"
"22608115","2013","1"
"21966072","2011","0"
"22707178","2012","0"
"27617700","2017","0"
"33561399","2021","0"
"26820224","2016","0"
"26412097","2015","0"
"25602918","2015","1"
"30679293","2019","0"
"33813233","2021","0"
"32847486","2020","1"
"30196084","2019","1"
"35671007","2022","0"
"24245708","2013","0"
"20636210","2010","0"
"32289541","2021","0"
"21600684","2011","0"
"29167052","2017","1"
"23698075","2014","0"
"23890316","2013","1"
"27907825","2017","0"
"24238951","2014","0"
"35331337","2022","1"
"23938766","2013","0"
"35829726","2022","0"
"31830099","2019","0"
"20688109","2010","0"
"28370590","2017","0"
"20524885","2010","0"
"28122091","2017","0"
"23663218","2013","0"
"20362976","2010","0"
"35099359","2022","0"
"31017834","2019","0"
"32217129","2020","0"
"34385571","2021","1"
"23553209","2013","0"
"30676039","2019","0"
"25698167","2015","0"
"26271252","2016","1"
"27664818","2016","1"
"23645706","2013","0"
"34814025","2022","0"
"34098409","2021","0"
"20227457","2010","1"
"31724031","2020","0"
"32551736","2020","0"
"31928026","2020","0"
"27030964","2016","0"
"29935190","2018","0"
"25148886","2015","0"
"20305281","2010","1"
"26322714","2015","0"
"34695540","2022","0"
"26051650","2015","0"
"30502501","2019","0"
"33452313","2021","1"
"29282024","2017","1"
"25970252","2015","0"
"31682972","2020","0"
"34391388","2021","1"
"25016187","2014","1"
"32429939","2020","0"
"31793085","2020","1"
"22200409","2012","1"
"26926034","2016","0"
"32005822","2020","1"
"30688179","2020","1"
"20962542","2011","0"
"30099355","2018","0"
"24874703","2014","1"
"20050992","2010","0"
"23090719","2013","0"
"24685536","2014","0"
"31487573","2019","1"
"25418575","2015","0"
"26872420","2016","0"
"23252357","2012","0"
"26298574","2016","0"
"23149323","2013","1"
"26343468","2015","1"
"33042933","2020","0"
"34553394","2022","1"
"25805405","2015","0"
"28545935","2017","1"
"27334706","2017","0"
"31021150","2019","1"
"33607554","2021","0"
"35838058","2022","1"
"26466585","2015","1"
"35972634","2022","0"
"24997517","2014","0"
"33474567","2021","1"
"34409931","2022","0"
"33724336","2021","0"
"34377358","2021","0"
"22032936","2011","1"
"32924086","2021","0"
"32012342","2020","0"
"25384098","2016","1"
"32810869","2021","1"
"33895547","2021","1"
"26126729","2015","1"
"22006815","2011","0"
"27803010","2016","1"
"23262142","2013","0"
"26719235","2016","1"
"30696270","2019","0"
"24134875","2017","1"
"25801061","2015","1"
"22177346","2012","0"
"26235445","2015","0"
"28012300","2017","1"
"19555523","2010","0"
"23879321","2014","0"
"20636211","2010","0"
"26551600","2015","0"
"28891657","2018","1"
"23171530","2013","1"
"23914767","2013","0"
"33792968","2021","0"
"29446699","2018","0"
"22458959","2012","1"
"33334164","2021","1"
"32404226","2021","0"
"21668746","2011","1"
"21966063","2011","1"
"21285706","2011","0"
"21618053","2011","0"
"19814599","2010","0"
"26078386","2016","0"
"32195635","2020","0"
"34301895","2021","1"
"23820239","2013","1"
"27328680","2017","1"
"29232526","2018","1"
"26577592","2015","1"
"23950914","2013","0"
"31036259","2020","1"
"25981329","2015","0"
"30758321","2019","0"
"21849751","2011","1"
"19822886","2010","0"
"25813751","2015","0"
"24113076","2014","0"
"29171897","2018","0"
"31243809","2019","0"
"28633449","2017","0"
"31856367","2020","0"
"23864671","2013","0"
"33929547","2021","1"
"30131057","2018","0"
"19381995","2010","0"
"21575683","2011","1"
"34311017","2021","1"
"33414179","2021","0"
"30097711","2019","0"
"28899892","2017","0"
"31380715","2019","0"
"22721875","2012","1"
"31194801","2019","1"
"29766438","2018","0"
"28977668","2017","0"
"33527302","2021","1"
"23297032","2013","0"
"33285395","2021","1"
"31340804","2019","0"
"28818000","2018","0"
"31689329","2019","0"
"28950007","2017","0"
"24933451","2014","0"
"20627130","2010","0"
"33704010","2022","1"
"25266255","2015","0"
"25462111","2015","1"
"29940602","2018","0"
"24611634","2014","0"
"34645711","2021","1"
"34311711","2021","1"
"26637357","2016","0"
"25759942","2016","1"
"23997369","2013","1"
"26979387","2016","0"
"29255205","2017","0"
"27348406","2016","0"
"31790442","2019","0"
"27278792","2016","1"
"21804273","2011","1"
"29215315","2018","1"
"25573396","2015","0"
"28520881","2017","0"
"21477197","2011","0"
"25303102","2014","0"
"30355023","2020","1"
"27993223","2017","0"
"32787552","2020","0"
"24292880","2014","1"
"33486812","2021","1"
"33951509","2021","1"
"22364145","2012","1"
"30321038","2019","0"
"32842931","2020","1"
"29790200","2019","0"
"32063231","2021","0"
"32372733","2020","1"
"23722473","2013","0"
"26772205","2016","0"
"33043561","2020","0"
"26827650","2016","0"
"21185552","2011","1"
"31189964","2019","1"
"28956942","2019","1"
"28334095","2017","0"
"23355496","2015","1"
"29380722","2018","0"
"21741625","2011","0"
"22505538","2012","0"
"26913618","2016","0"
"22780220","2013","1"
"30385214","2018","1"
"28453969","2017","1"
"32962741","2020","1"
"32485304","2020","1"
"26613756","2016","0"
"26894510","2016","0"
"34493259","2021","0"
"29095133","2018","1"
"21992655","2011","0"
"31747124","2019","0"
"27272318","2016","0"
"27618548","2016","0"
"25680096","2015","0"
"32429814","2020","1"
"29543812","2018","0"
"20638631","2010","1"
"30953768","2019","0"
"27732023","2016","1"
"24465822","2014","1"
"30999690","2019","1"
"26187986","2015","0"
"33011485","2020","0"
"25239053","2015","1"
"32873895","2021","0"
"33827666","2021","0"
"35144587","2022","1"
"30381252","2018","1"
"29368978","2018","0"
"26073498","2015","0"
"34408817","2021","0"
"29455695","2018","0"
"22420594","2012","0"
"35315523","2022","0"
"33196894","2021","1"
"30559179","2019","0"
"32056907","2020","0"
"29298938","2018","1"
"27122391","2016","0"
"29069519","2017","1"
"29625599","2018","1"
"25260133","2014","1"
"24750198","2014","0"
"35954693","2022","0"
"26684472","2016","0"
"20074386","2010","1"
"22835074","2013","1"
"29983124","2018","1"
"24949622","2014","0"
"27741384","2016","0"
"29504793","2018","1"
"23868492","2013","1"
"30474734","2019","0"
"21208425","2011","0"
"30207392","2019","0"
"20857453","2011","0"
"31685078","2020","1"
"21332483","2011","0"
"35471571","2022","0"
"27988419","2017","1"
"22542085","2012","1"
"35108604","2022","0"
"34620037","2022","0"
"25451611","2015","1"
"28119356","2017","0"
"33249272","2021","1"
"32090688","2020","0"
"27713000","2017","0"
"28364516","2017","0"
"23203980","2012","0"
"24147073","2013","1"
"23994252","2013","1"
"27077756","2016","1"
"33460240","2021","0"
"27217107","2016","1"
"33229572","2020","0"
"20643826","2010","0"
"33971951","2021","1"
"23123567","2013","1"
"30585371","2019","1"
"27417912","2017","0"
"32817530","2020","1"
"21849316","2012","1"
"20553826","2010","1"
"23113813","2013","0"
"35058255","2022","0"
"31530613","2019","0"
"28533402","2017","0"
"22267652","2012","0"
"31300528","2019","0"
"28750067","2017","1"
"25058607","2014","0"
"26009784","2015","0"
"32592439","2020","1"
"23424987","2013","0"
"31785395","2020","1"
"27300292","2016","0"
"23509866","2013","0"
"33257566","2020","0"
"26058734","2016","0"
"24950600","2014","0"
"20581713","2011","0"
"26085302","2015","0"
"21127102","2010","0"
"34309949","2021","0"
"31363804","2019","0"
"24244406","2013","0"
"29911273","2018","0"
"25906330","2015","0"
"24584055","2014","1"
"30975106","2019","0"
"23600546","2013","0"
"25936550","2015","0"
"21255022","2011","1"
"28600375","2017","0"
"32306876","2020","0"
"23523985","2013","1"
"28162893","2017","0"
"31499297","2020","0"
"32535608","2020","0"
"29045615","2017","1"
"30651382","2019","0"
"28840645","2018","0"
"34331996","2021","0"
"29082633","2018","0"
"20187001","2010","0"
"31129983","2019","0"
"21483704","2011","0"
"24245807","2013","1"
"20598127","2010","0"
"27486966","2016","0"
"29976093","2018","0"
"22875864","2013","1"
"34155002","2021","0"
"27792974","2016","1"
"24416344","2014","0"
"29447997","2018","1"
"32576646","2020","0"
"31698111","2019","0"
"21794144","2011","0"
"25542774","2015","0"
"20587581","2010","1"
"25631229","2015","1"
"22098673","2011","1"
"28594188","2017","1"
"33524917","2021","0"
"21537360","2011","0"
"25545699","2015","1"
"36085009","2022","1"
"29766414","2018","0"
"20797380","2010","0"
"33541759","2021","1"
"19730837","2010","0"
"21931958","2012","0"
"22621361","2012","1"
"22570062","2012","1"
"28229806","2017","0"
"24665529","2014","1"
"25849477","2015","1"
"26732827","2016","0"
"28967161","2017","0"
"28425191","2017","1"
"33634916","2021","0"
"33581801","2021","0"
"27166240","2016","0"
"21728906","2011","0"
"32133531","2020","1"
"31072238","2019","0"
"25867224","2015","1"
"26118559","2015","0"
"32764745","2020","0"
"23458700","2013","1"
"26837684","2016","0"
"35969401","2022","0"
"25016138","2014","0"
"28976937","2017","0"
"33291998","2022","0"
"30477463","2018","1"
"30065246","2018","1"
"34894587","2022","1"
"23139021","2013","0"
"24359124","2014","0"
"29235185","2018","1"
"30199144","2018","0"
"31260948","2019","0"
"32420667","2020","1"
"22564505","2012","0"
"34283004","2022","1"
"27091535","2016","0"
"32493516","2020","1"
"30624968","2020","1"
"31006920","2019","1"
"28444135","2017","0"
"33631838","2021","0"
"34735452","2021","0"
"26632349","2016","0"
"36382651","2022","0"
"33431807","2021","1"
"33341402","2021","0"
"29289940","2017","0"
"21085661","2010","0"
"26330145","2016","0"
"28448791","2017","0"
"34780228","2021","0"
"26502085","2015","1"
"29630988","2018","0"
"32706124","2020","0"
"28939427","2017","1"
"33348210","2021","0"
"26663249","2016","0"
"29450600","2018","0"
"25066102","2014","0"
"25493937","2014","0"
"32111822","2020","0"
"33001690","2021","0"
"28842597","2017","1"
"23174695","2013","1"
"33577937","2021","0"
"26515987","2016","0"
"34256715","2021","1"
"33978699","2021","0"
"31888707","2019","0"
"25494198","2014","0"
"34265849","2022","0"
"25012436","2014","1"
"34741361","2022","0"
"28810478","2019","1"
"31024161","2018","0"
"33587038","2021","0"
"34454167","2022","1"
"20079485","2010","0"
"20414629","2010","1"
"26166625","2015","1"
"20391178","2010","0"
"25122509","2014","0"
"35428645","2022","0"
"30293686","2019","0"
"32018003","2020","0"
"30797989","2019","1"
"33597043","2021","1"
"31642928","2019","0"
"35246714","2022","0"
"32213021","2020","0"
"24260145","2013","0"
"22666457","2012","1"
"19763816","2010","0"
"24094609","2014","0"
"30648318","2019","0"
"25585272","2015","0"
"33878687","2021","1"
"29486736","2018","0"
"20822474","2010","0"
"32564071","2020","0"
"23007867","2013","0"
"28245946","2017","0"
"19253315","2010","0"
"30217536","2018","1"
"29164796","2018","1"
"33179332","2020","0"
"34291815","2021","0"
"30076495","2018","0"
"29352036","2018","1"
"30348674","2018","1"
"26133572","2015","1"
"34963473","2021","1"
"34529986","2022","1"
"28730396","2018","1"
"31300892","2020","0"
"20696427","2011","1"
"20420769","2010","0"
"20177843","2010","0"
"22566082","2013","1"
"33353457","2022","1"
"27191406","2016","0"
"23584193","2013","0"
"26235042","2015","0"
"35482652","2022","0"
"31059489","2019","0"
"30269665","2018","0"
"29794287","2018","0"
"31621001","2020","0"
"29387936","2018","0"
"20978333","2010","1"
"27845338","2017","1"
"20093934","2010","0"
"33308073","2021","0"
"24731441","2014","0"
"29524473","2018","0"
"35285923","2022","0"
"26994348","2016","0"
"21489058","2011","0"
"28756415","2017","1"
"32169307","2020","1"
"21832988","2011","0"
"32573380","2020","0"
"26769240","2016","0"
"22356650","2012","0"
"22349009","2012","1"
"26996084","2016","0"
"24717011","2014","0"
"36169936","2022","0"
"26515560","2016","0"
"23642173","2013","0"
"34328501","2021","1"
"33227558","2021","1"
"29962227","2018","0"
"25941181","2015","0"
"32057131","2020","1"
"30647044","2019","0"
"35443229","2022","0"
"32401286","2020","1"
"22856621","2012","0"
"35381183","2022","0"
"28327569","2017","1"
"22449013","2012","1"
"36064880","2022","0"
"30373682","2018","1"
"35398665","2022","0"
"30772854","2019","0"
"30816244","2019","1"
"29042551","2017","0"
"24468920","2014","0"
"32525244","2021","1"
"31075060","2019","1"
"29092835","2017","0"
"20831940","2010","0"
"23005039","2012","1"
"21439049","2011","0"
"28132011","2017","0"
"25723780","2015","1"
"26790758","2016","0"
"23406572","2013","0"
"28459607","2017","0"
"26091917","2015","0"
"28088056","2017","0"
"23889182","2014","0"
"27082143","2016","0"
"22607663","2012","0"
"32457153","2020","0"
"22621983","2012","0"
"25338633","2015","0"
"34547400","2022","1"
"35233745","2022","1"
"27994147","2017","0"
"35491992","2022","0"
"32157622","2020","0"
"31881160","2022","1"
"31056927","2020","0"
"31782961","2020","0"
"22320999","2012","0"
"31982880","2019","1"
"20578170","2011","0"
"26235478","2015","1"
"24563207","2014","1"
"22364344","2012","1"
"30148387","2018","1"
"31235886","2019","1"
"21170381","2010","1"
"31856796","2019","0"
"31030867","2019","1"
"29556091","2018","0"
"24140566","2013","0"
"21798515","2011","0"
"32236763","2020","0"
"30099390","2018","0"
"22161256","2012","1"
"22378882","2012","0"
"23593244","2013","0"
"35220032","2022","0"
"25071201","2014","1"
"28982814","2017","0"
"25910979","2015","0"
"34941352","2022","0"
"28390501","2017","1"
"30089640","2018","0"
"26237774","2015","0"
"24349251","2013","1"
"28093830","2017","0"
"30321293","2018","0"
"28617449","2017","1"
"26985608","2016","0"
"26051073","2015","0"
"24040881","2013","0"
"26167944","2015","1"
"20106685","2010","0"
"34462940","2021","0"
"32340638","2021","1"
"26276443","2015","0"
"30677589","2019","1"
"29482764","2018","0"
"22429884","2012","0"
"22458331","2012","1"
"31858922","2021","0"
"33139897","2020","0"
"31556341","2020","0"
"21254309","2012","1"
"31864217","2020","1"
"31187645","2020","0"
"19811879","2010","1"
"25010991","2014","1"
"35545865","2022","1"
"33464549","2021","1"
"20532199","2010","0"
"25889819","2015","0"
"34301969","2021","0"
"23356388","2013","0"
"26130127","2016","0"
"23218058","2013","1"
"21691218","2011","0"
"29448135","2018","1"
"22293937","2012","1"
"23939226","2013","0"
"25775604","2015","0"
"21452933","2011","0"
"30814485","2019","1"
"25843396","2015","0"
"23935058","2013","0"
"25337948","2015","0"
"27736943","2016","1"
"25236326","2015","1"
"28655183","2017","0"
